ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
591455,Ahmad Ashfaque Karim,Elected,"Tuesday, April 3, 2018",In office,First Term,Bihar,,Rashtriya Janata Dal,Male,Information not available,Information not available,57,16,0,58,78%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,32.4,0.1,32,79%,,Rajya Sabha
1966,Ahmad Hassan,Elected,"Thursday, April 3, 2014",In office,First Term,West Bengal,,All India Trinamool Congress,Male,Inter/ Higher Secondary,"Higher Seconday, Educated at Malnady Primary School, Jalpaiguri and Banarhat High School, Jalpaiguri, West Bengal",66,104,0,82,72%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,131.1,2.6,287,72%,,Rajya Sabha
1967,Ahmad Saeed Malihabadi,Elected,"Thursday, April 3, 2008","Wednesday, April 2, 2014",First Term,West Bengal,,Independent,Male,Graduate,"After school completed education at Madrasah Islah and Darul Musanafeen (Shibli Academy), Azamagarh",89,25,0,35,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,55.6,0.6,156,72%,,Rajya Sabha
1968,Ahmed Patel,Elected,"Saturday, August 19, 2017",In office,Fifth Term,Gujarat,,Indian National Congress,Male,Graduate,"B.Sc. Educated at Shree Jayendra Puri Arts and Science College, Bharuch (South Gujarat University) and M.S. University, Baroda",70,29,3,251,72%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),131.3,2.4,601,79,83.6,3.1,572,81%,,Rajya Sabha
591457,Ajay Pratap Singh,Elected,"Tuesday, April 3, 2018",In office,First Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,51,28,1,90,90%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,26.6,0.1,80,84%,,Rajya Sabha
1969,Ajay Sancheti,Elected,"Tuesday, April 3, 2012","Monday, April 2, 2018",First Term,Maharashtra,,Bharatiya Janata Party,Male,Graduate,B.Com. Educated at Nagpur University,54,32,0,345,71%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),78.1,1.4,341,79,72.7,3.7,519,75%,,Rajya Sabha
1970,Ajay Singh Chautala,Elected,"Sunday, February 8, 2004","Monday, November 2, 2009",First Term,Haryana,,Indian National Lok Dal,Male,Post Graduate,"B.A., M.A., LL.B. Educated at Government College, Hissar and Rajasthan University, Jaipur (Rajasthan)",58,0,0,9,53%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),4.3,0.1,25,79,5.8,0,12,86%,,Rajya Sabha
1971,Akhilesh Das Gupta,Elected,"Wednesday, November 26, 2008","Tuesday, November 25, 2014",Third Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Doctorate,"M.B.A., LL.B., D.P.A. (Diploma in Public Administration), Ph.D. on 'Human Resources Management in Public Sector Undertakings' Educated at Colvin Taluqdars' College, Allahabad University, Lucknow University and Agra University",58,7,17,12,63%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),47.1,1.1,316,79,43.2,1.7,230,82%,,Rajya Sabha
591459,Akhilesh Prasad Singh,Elected,"Tuesday, April 3, 2018",In office,First Term,Bihar,,Indian National Congress,Male,Information not available,Information not available,57,9,0,38,90%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,32.4,0.1,32,79%,,Rajya Sabha
1972,Ali Anwar Ansari,Elected,"Monday, April 3, 2006","Monday, December 4, 2017",Second Term,Bihar,,Janata Dal (United),Male,Graduate,"Graduate, Educated at D.K.College, Dumraon and M.V.College, Buxar (Bihar)",65,267,0,103,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),97.9,1.9,490,79,145.1,0.1,509,79%,,Rajya Sabha
1973,Alka Balram Kshatriya,Elected,"Thursday, April 10, 2008","Wednesday, April 9, 2014",Second Term,Gujarat,,Indian National Congress,Female,Post Graduate,"B.Com., LL.B., M.Com., LL.M. (Commercial Law), Diploma in Labour Laws and Practice (D.L.P.), Diploma in Taxation Practice (D.T.P.) Educated at Gujarat University, Ahmedabad and North Gujarat University, Mahesana",60,17,0,165,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,36.6,0.9,324,81%,,Rajya Sabha
1974,Alok Tiwari,Elected,"Tuesday, June 19, 2012","Monday, April 2, 2018",First Term,Uttar Pradesh,,Samajwadi Party,Male,Graduate,Graduate Educated at University of Delhi,47,145,0,273,94%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),74.1,1.2,323,79,92.5,0.7,291,82%,,Rajya Sabha
842289,Amar Patnaik,Elected,"Thursday, July 4, 2019",In office,First Term,Odisha,,Biju Janata Dal,Male,Information not available,Information not available,,69,3,33,84%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),18.3,0.3,31,79,28.6,0.6,26,77%,,Rajya Sabha
1975,Amar Shankar Sable,Elected,"Monday, March 16, 2015",In office,First Term,Maharashtra,,Bharatiya Janata Party,Male,Graduate,"B.A., Diploma in Journalism",51,52,4,399,92%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),74.8,1.2,258,79,65.8,3.6,371,75%,,Rajya Sabha
1976,Amar Singh (RS),Elected,"Tuesday, July 5, 2016",In office,Fourth Term,Uttar Pradesh,,Independent,Male,Professional Graduate,"B.A., LL.B. Educated at St. Xavier's College and University College of Law, Kolkata",63,27,0,353,53%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),102.6,2,503,79,110.8,2,408,82%,,Rajya Sabha
1977,Ambeth Rajan,Elected,"Monday, July 5, 2010","Monday, July 4, 2016",Second Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.Sc. II Educated at AVC College, Mayiladuthurai, Tamil Nadu",63,65,0,695,98%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,71.7,1.6,259,82%,,Rajya Sabha
1978,Ambika Soni,Elected,"Tuesday, July 5, 2016",In office,Fifth Term,Punjab,,Indian National Congress,Female,Graduate,"B.A. (Hons.), Diplome Superiore en Langue Francaise, Post-Graduate Diploma in Spanish Art and Literature Educated at Indraprastha College, Delhi University, Alliance Francaise, Bangkok and University of Havana, Cuba",77,67,0,823,94%,"This MP was a minister. She tendered her resignation on Oct 28, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from Oct 29, 2012. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",121.1,2.1,524,79,108.7,1.7,537,82%,,Rajya Sabha
1979,Amir Alam Khan,Elected,"Tuesday, June 13, 2006","Sunday, July 4, 2010",First Term,Uttar Pradesh,,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Islamia Inter College, Muzaffarnagar (Uttar Pradesh)",61,3,0,186,44%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),10.1,0.3,78,79,8.4,0.4,58,82%,,Rajya Sabha
531839,Amit Anil Chandra Shah (RS),Elected,"Saturday, August 19, 2017","Wednesday, May 22, 2019",First Term,Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,B.Sc. (Iind Year) Educated at Gujarat University,55,3,0,0,65%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),11.2,0.2,73,79,4.6,0,43,81%,,Rajya Sabha
1980,Anand Sharma,Elected,"Sunday, April 3, 2016",In office,Fourth Term,Himachal Pradesh,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. Educated at R.P.C.S.D.B. College, Shimla and Faculty of Law, Himachal Pradesh University, Shimla",66,226,0,273,92%,"This MP was a minister till May 2014. Participation and attendance details for this MP are available from Jun 9, 2014. He has also been re-elected/nominated. During his previous term, this MP was an elecgted representative from Rajasthan; the term ended o (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",118.4,2.1,518,79,159.3,0.1,569,89%,,Rajya Sabha
1981,Ananda Bhaskar Rapolu,Elected,"Tuesday, April 3, 2012","Tuesday, April 3, 2018",Second Term,Telangana,,Indian National Congress,Male,Post Graduate,"M.A. (Sociology) Educated at C.K.M. College, Warangal and Osmania University, Hyderabad",55,422,0,4,91%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),78.1,1.4,342,79,149.5,1,603,72%,,Rajya Sabha
1982,Anbumani Ramadoss (RS),Elected,"Friday, July 26, 2019",In office,Second Term,Tamil Nadu,,Pattali Makkal Katchi,Male,Professional Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu)",51,2,0,0,15%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),23,0.5,95,79,33.4,0.3,94,75%,,Rajya Sabha
591460,Anil Agarwal,Elected,"Tuesday, April 3, 2018",In office,First Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not availlable,56,9,0,62,99%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,32.3,0.1,76,82%,,Rajya Sabha
591462,Anil Baluni,Elected,"Tuesday, April 3, 2018",In office,First Term,Uttarakhand,,Bharatiya Janata Party,Male,Information not available,Information not available,48,4,0,1,95%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,5.9,0,4,89%,,Rajya Sabha
1983,Anil H. Lad,Elected,"Thursday, June 26, 2008","Monday, May 20, 2013",First Term,Karnataka,,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sandur Residential School, Sandur, Distt. Bellary, Karnataka",46,4,0,26,59%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),34,1,262,79,18.1,1.8,120,73%,,Rajya Sabha
591463,Anil Kumar Jain,Elected,"Tuesday, April 3, 2018",In office,First Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,71,7,0,0,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,32.3,0.1,76,82%,,Rajya Sabha
1984,Anil Kumar Sahani,Elected,"Monday, January 4, 2010","Monday, April 2, 2018",Second Term,Bihar,,Janata Dal (United),Male,Post Graduate,"LL.B., M.A.; Educated at Baba Saheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Bihar)",56,136,0,552,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),95.2,1.8,474,79,138.4,0.1,461,79%,,Rajya Sabha
1985,Anil Madhav Dave,Elected,"Wednesday, June 30, 2010","Thursday, May 18, 2017",Third Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.Com. Educated at Gujarati College, Indore, Madhya Pradesh",63,68,0,399,76%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till May 11, 2016. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",65.5,1.2,335,79,82.7,2.3,550,84%,,Rajya Sabha
1986,Anil Yeshwant Desai,Elected,"Tuesday, April 3, 2018",In office,Second Term,Maharashtra,,Shiv Sena,Male,Professional Graduate,"B.Com, LL. B. Educated at Mumbai University, Mu",62,127,0,655,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),107.2,1.8,419,79,95.4,4.9,620,75%,,Rajya Sabha
1987,Anu Aga,Nominated,"Friday, April 27, 2012","Thursday, April 26, 2018",First Term,,,Independent,Female,Post Graduate,"B.A.(Eco) from St Xavier's College, Mumbai, and post graduation in medical and psychiatric social work from the TISS, Mumbai. Also had been a Fulbright Scholar and studied in the United States for four months.",77,16,0,0,69%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),78,1.4,341,79,31.3,0.8,80,74%,,Rajya Sabha
1988,Anubhav Mohanty (RS),Elected,"Friday, June 13, 2014","Wednesday, May 22, 2019",First Term,Odisha,,Biju Janata Dal,Male,Graduate,B.Com.,37,45,2,449,65%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),68.6,1.1,270,79,59.3,0.2,311,77%,,Rajya Sabha
1989,Anusuiya Uikey,Elected,"Monday, April 3, 2006","Monday, April 2, 2012",First Term,Madhya Pradesh,,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Economics), LL.B. (II year)",62,48,0,249,90%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),24,0.6,182,79,37.1,1.4,293,84%,,Rajya Sabha
1990,Arjun Kumar Sengupta,Elected,"Friday, August 19, 2005","Sunday, September 26, 2010",First Term,West Bengal,,Independent,Male,Doctorate,"B.A., M.A., Ph.D. (Economics) Educated at Mitra Institution, Bhavanipur, Kolkata, Presidency College, University of Calcutta, Kolkata and Massachusetts Institute of Technology (MIT), USA",82,7,0,0,61%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),13.7,0.4,97,79,21.3,0.3,66,72%,,Rajya Sabha
1991,Arjun Singh (RS),Elected,"Monday, April 3, 2006","Friday, March 4, 2011",Second Term,Madhya Pradesh,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B., educated at Allahabad University and Agra University",89,1,0,0,22%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),14.9,0.5,124,79,18.5,0.7,184,84%,,Rajya Sabha
1992,Arun Jaitley,Elected,"Tuesday, April 3, 2018","Saturday, August 24, 2019",Fourth Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com. (Hons.), LL.B. Educated at Sri Ram College of Commerce, University of Delhi and Faculty of Law, University of Delhi",66,105,0,0,N/A,"This MP was a leader of Opposition till May 2014 and was a minister between May 2014 to April 2019. LoP does not sign the attendance register. Participation details for this MP are thus available only till Feb 21, 2014 and after May 2019. (Data corresponds to the period from 1 Jun 2009 to 7 Aug 2019.)",60.3,1.3,351,,59.7,0.9,381,N/A,,Rajya Sabha
1993,Arun Shourie,Elected,"Monday, July 5, 2004","Sunday, July 4, 2010",Second Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Doctorate,"Ph.D. (Economics), Educated at Modern School, New Delhi, St.Stephen's College, Delhi and University of Syracuse, U.S.A",78,3,0,0,61%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),10.1,0.3,78,79,8.4,0.4,58,82%,,Rajya Sabha
843868,Arun Singh,Elected,"Friday, December 6, 2019",In office,First Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,,1,0,0,83%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),2.7,0.1,6,79,2.7,0.1,5,82%,,Rajya Sabha
1994,Arvind Kumar,Elected,"Friday, April 20, 2012","Monday, July 4, 2016",First Term,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"M.A., LL.B. Educated at Lucknow University, Lucknow",51,112,0,670,95%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),51.5,0.9,230,79,59.5,0.7,195,82%,,Rajya Sabha
1995,Ashk Ali Tak,Elected,"Monday, July 5, 2010","Monday, July 4, 2016",First Term,Rajasthan,,Indian National Congress,Male,Post Graduate,"M.A., Diploma in Indian Thought ; Educated at University of Rajasthan, Jaipur",61,16,0,351,94%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,64.8,0.4,396,85%,,Rajya Sabha
591464,Ashok Bajpai,Elected,"Tuesday, April 3, 2018",In office,First Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,70,37,0,110,97%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,32.3,0.1,76,82%,,Rajya Sabha
1996,Ashok S. Ganguly,Nominated,"Wednesday, November 18, 2009","Tuesday, November 17, 2015",First Term,,,Independent,Male,Doctorate,"B.Sc., M.S., Ph.D. ; Educated at Master Tutorial High School, Mumbai, Jaihind College, Mumbai and University of Illinois, U.S.A.",84,69,0,4,69%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),58.3,1.3,348,79,24.4,0.4,97,74%,,Rajya Sabha
1997,Ashok Siddharth,Elected,"Tuesday, July 5, 2016",In office,First Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"M.A. from Bundelkhand Degree College, Jhansi University and Diploma in Paramedical Ophthalmic Assistant, M.L.B. Medical College, Jhansi",54,33,0,0,75%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,67.8,0.2,179,82%,,Rajya Sabha
1998,Ashwani Kumar,Elected,"Saturday, April 10, 2010","Saturday, April 9, 2016",Third Term,Punjab,,Indian National Congress,Male,Post Graduate,"B.A.(Hons.), LL.B., M.Phil. Educated at St. Stephen's College, Delhi; Faculty of Law, University of Delhi and Jawaharlal Nehru University, New Delhi",67,26,0,0,90%,"This MP was a minister from Jan 2011 to May 2013. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",62.2,1.3,338,79,61.8,1,317,82%,,Rajya Sabha
842290,Ashwini Vaishnaw,Elected,"Monday, July 1, 2019",In office,First Term,Odisha,,Bharatiya Janata Party,Male,Information not available,Information not available,,13,0,7,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),19.9,0.3,33,79,29.4,0.6,27,77%,,Rajya Sabha
1999,Avinash Pande,Elected,"Monday, July 5, 2010","Monday, July 4, 2016",First Term,Maharashtra,,Indian National Congress,Male,Post Graduate,"B.Com, M.A. (Economics), M.A. (Public Administration) D.B.M., LL.B. ; Educated at Nagpur University, Nagpur",61,26,3,406,83%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,60,2.5,511,75%,,Rajya Sabha
2000,Avinash Rai Khanna,Elected,"Saturday, April 10, 2010","Saturday, April 9, 2016",First Term,Punjab,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",58,145,5,588,92%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),62.2,1.3,338,79,61.8,1,317,82%,,Rajya Sabha
2001,Avtar Singh Karimpuri,Elected,"Wednesday, November 26, 2008","Tuesday, November 25, 2014",First Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"Intermediate, B.A. (Public Administration) (Part-II) Educated at Govt. High School, Kotranjha, (Punjab) and Annamalai University",55,113,4,119,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),47.1,1.1,316,79,43.2,1.7,230,82%,,Rajya Sabha
2002,B. Jayashree,Nominated,"Monday, March 22, 2010","Monday, March 21, 2016",First Term,,,Independent,Female,Graduate,"Graduate ; Educated at National School of Drama, New Delhi",69,7,0,2,63%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),62.2,1.3,338,79,27.7,0.5,92,74%,,Rajya Sabha
2003,B. S. Gnanadesikan,Elected,"Wednesday, July 25, 2007","Wednesday, July 24, 2013",Second Term,Tamil Nadu,,Indian National Congress,Male,Professional Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Dr. Ambedkar Law College, Chennai",70,22,0,200,54%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),34,1,262,79,43.3,0.7,292,75%,,Rajya Sabha
2004,B.B. Tiwari,Elected,"Tuesday, April 3, 2012","Wednesday, April 25, 2012",Second Term,Uttar Pradesh,,Samajwadi Party,Male,Professional Post Graduate,"B.A. M.A. (Pol. Sc.), LL.B. Educated at Shivpati Inter College, Shohratgarh, St. Andrew's College, Gorakhpur and Allahabad University, Allahabad",78,0,0,0,N/A,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),0,0,2,,0,0,1,N/A,,Rajya Sabha
2005,B.K. Hariprasad,Elected,"Thursday, June 26, 2014",In office,Fourth Term,Karnataka,,Indian National Congress,Male,Graduate,"B. Com. Educated at M.E.S.College, Bangalore University, Bangalore",65,154,4,735,84%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),96,1.4,332,79,76.6,1.1,407,73%,,Rajya Sabha
591465,Badugula Lingaiah Yadav,Elected,"Tuesday, April 3, 2018",In office,First Term,Telangana,,Telangana Rashtra Samithi,Male,Information not available,Information not available,61,13,0,38,80%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,15.1,0.6,111,72%,,Rajya Sabha
