Title,Date,Participants,Ref.Keywords
"Discussion on the motion for consideration of the Representation of the People (Amendment and Validation) Bill,<span style=""mso-spacerun: yes"">  </span>2013 as passed by Rajya Sabha. ",6/9/2013,"Sibal Shri Kapil,Mahtab Shri Bhartruhari,Azad Shri Kirti (Jha),Karunakaran Shri P.,Banerjee Shri Kalyan,Elangovan Shri T.K.S.,Kumar Shri Shailendra,Trivedi Shri Dinesh,Chauhan Shri Dara Singh,Sibal Shri Kapil","Elections,Judiciary,Supreme Court,Voting,Imprisonment"
"Introduction and passing of the Appropriation (No. 4) Bill, 2013. ",5/9/2013,"Chidambaram Shri Palaniappan,Sinha Shri Yashwant,Ray Shri Saugata,Das Gupta Shri Gurudas,Chidambaram Shri Palaniappan","Economic Growth,Economic Policy,Foreign Trade,Growth Rate,Industrial Production,Inflation,Subsidies,Interest Payments,Foreign Direct Investment (FDI)"
"Deferrement of the Right to Information (Amendment) Bill, 2013. ",5/9/2013,Narayanasamy Shri V.,
"Discussion on the motion for consideration of the Amendments made by Rajya Sabha to the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Bill, 2013 (Amendments made By Rajya Sabha). ",5/9/2013,Ramesh Shri Jairam,"Industrialization,Land Acquisition,Infrastructure Development"
"Discussion on the motion for consideration of the Street Vendors (Protection of Livelihood and Regulation of Street Vending) Bill, 2012 (Discussion not concluded). ",5/9/2013,"Vyas Dr.(Kum.) Girija,Kumar Shri Shailendra,Hegde Shri K. Jayaprakash ,Geete Shri Anant Gangaram","Facilities,Health Insurance,Poor,Security Measures,Licensing Policy,Mafia,Health and Hygiene,Welfare Measures,Self Employment"
"Discussion on the motion for consideration of the Amendments made by Rajya Sabha to the Wakf (Amendment) Bill, 2010. ",5/9/2013,"Khan Shri K. Rahman,Hussain Shri Syed Shahnawaz,Haque Shri Mohammad Asrarul,Kumar Shri Shailendra,Barq Shri Shafiqur Rahman,Hassan Dr. Monazir ,Haque Shri Sk. Saidul,Ray Shri Rudramadhab ,Khaire Shri Chandrakant Bhaurao,Naik Dr. Sanjeev Ganesh,Kumar Shri P.,Rao Shri Nama Nageswara,Singh Shri Prabhunath,Basheer Shri E. T. Muhammed,Aaron Rashid Shri J.M.,Owaisi Shri Asaduddin,Maharaj Shri Satpal,Khan Shri K. Rahman","Archaeological Survey of India (ASI),Financial Aid,Land Acquisition,Maintenance and Repair,Minorities,Mosque,Muslims,Wakf Board,Wakf Property,First Information Report (FIR),Land Encroachment"
"Discussion on the motion for consideration of the Right to Information (Amendment) Bill, 2013. ",4/9/2013,Narayanasamy Shri V.,"Right to Information,Central Information Commission"
"Regarding devastating floods occurred in Allahabad, Uttar Pradesh. ",4/9/2013,Karwariya Shri Kapil Muni,"Flood Control,Flood Damage,Compensations,Relief Measures"
"Further discussion on the motion for consideration of the Pension Fund Regulatory and Development Authority Bill, 2011, moved by Shri P. Chidambaram on 3rd September, 2013 (Bill Passed). ",4/9/2013,"Chidambaram Shri Palaniappan,Dubey Shri Nishikant ,Ray Shri Saugata,Kumar Shri Shailendra,Elangovan Shri T.K.S.,Acharia Shri Basudeb,Dubey Shri Nishikant ,Chauhan Shri Dara Singh,Mahtab Shri Bhartruhari,Geete Shri Anant Gangaram,Semmalai Shri S. ,Das Gupta Shri Gurudas,Singh Dr. Raghuvansh Prasad,Rao Shri Nama Nageswara,Mahato Shri Narahari,Meinya Dr. Thokchom,Chidambaram Shri Palaniappan","Employees Provident Fund,Employees Provident Fund Organisation,Government Employees,Interest Rate,Old Age Benefits,Pay Commission,Pension Schemes,Private Sector,Public Sector,Social Security,Unorganised Workers,Scams,Securities and Exchange Board of India (SEBI),Unorganised Sector,Foreign Direct Investment (FDI),Mahatma Gandhi National Rural Employment Guarantee Act (MNREGA),National Pension System,New Pension Scheme,Pension Fund"
"Motion for consideration of the Pension Fund Regulatory and Development Authority Bill, 2011 (Under Consideration). ",3/9/2013,Chidambaram Shri Palaniappan,"Foreign Investments,Insurance Companies,Old Age Benefits,Pension Schemes"
"Amendments made by Rajya Sabha to the National Highways Authority of India (Amendment) Bill, 2014. ",2/9/2013,Fernandes Shri Oscar,
"Discussion on the motion for consideration of the Land Acquisition, Rehabilitation and Resettlement Bill, 2011. ",29-08-2013,"Ramesh Shri Jairam,Singh Shri Rajnath,Natrajan Meenakshi,Yadav Shri Mulayam Singh,Nagar Shri Surendra Singh,Singh Shri Rajiv Ranjan (Lalan),Bandyopadhyay Shri Sudip,Elangovan Shri T.K.S.,Acharia Shri Basudeb,Satpathy Shri Tathagata,Ganpatrao Shri Jadhav Prataprao,Sule Supriya ,Thambidurai Shri M.,Rao Shri Nama Nageswara,Virendra Kumar Shri ,Meghwal Shri Arjun Ram ,Kumar Shri Shailendra,Viswanathan Shri P.,Jardosh Smt. Darshana Vikram,Rama Devi Smt. ,Chaudhary Shri Jayant,Abdulrahman Shri ,Patel Smt. Jayshreeben,Ganeshamurthi Shri A.,Krishnaswamy Shri M.,Shivaramagouda Shri ,Sivasami Shri C.,Semmalai Shri S. ,Maharaj Shri Satpal,Nagorao Shri Dudhgaonkar Ganeshrao,Lalu Prasad Shri ,Chauhan Shri Mahendrasinh P.,Kashyap Shri Dinesh,Paeethambarakurup Shri N.,Manian Shri O. S.,Ghubaya Shri Sher Singh,Ponnam Shri Prabhakar,Potai Shri Sohan,Panda Shri Prabodh,Shariq Shri Sharifuddin,Yadav Shri Hukamdeo Narayan,Rai Shri Prem Das,Pandey Shri Ravindra Kumar,Maadam Shri Vikrambhai Arjanbhai,Choudhary Shri Harish,Kaswan Shri Ram Singh,Basheer Shri E. T. Muhammed,Haque Shri Sk. Saidul,Majumdar Shri Prasanta Kumar,Roy Shri Nripendra Nath,Rajendran Shri C.,Kumar Shri Ajay,Solanki Dr. Kirit Premjibhai,Owaisi Shri Asaduddin,Pal Shri Raja Ram,Mandal Dr. Tarun,Shekhar Shri Neeraj,Jindal Shri Naveen,Nahata Smt. P. Jaya Prada,Kumari Smt. Putul,Dias Dr. Charles,Shetti Shri Raju,Punia Shri P.L. ,Ahir Shri Hansraj Gangaram,Naranbhai Shri Kachhadia,Anuragi Shri Ghansyam ,Singh Shri Ratan,Ramshankar Dr. ,Agarwal Shri Rajendra,Gandhi Shri Dilip Kumar Mansukhlal,Ramesh Shri Jairam,Gutha Shri Sukender Reddy","Agricultural Sector,Economic Development,Employment,Fundamental Rights,Industrial Development,Interest Rate,Land Acquisition,Land Reforms,Rehabilitation,Compensations,Cultivable Land,Infrastructure Development,Agricultural Labourers,Foodgrains,Special Economic Zones,Public Private Partnership (PPP),Resettlement Policy,Fertile Land"
"Discussion on the motion for consideration of the Governors (Emoluments, Allowances and Privileges) Amendment Bill, 2012 (Discussion concluded and<span style=""mso-spacerun: yes"">  </span>Bill passed). ",24-08-2013,"Singh Kunwar Ratanjeet Pratap Narayan ,Azad Shri Kirti (Jha),Pal Shri Jagdambika,Kumar Shri Shailendra,Yadav Shri Sharad,Ray Shri Saugata,Haque Shri Sk. Saidul,Satpathy Shri Tathagata,Semmalai Shri S. ,Singh Dr. Raghuvansh Prasad,Chauhan Shri Dara Singh,Panda Shri Prabodh,Kumar Shri Ajay,Mandal Dr. Tarun,Singh Kunwar Ratanjeet Pratap Narayan ","Centre-State Relations,Employment,Health Facilities,Medical Facilities,Old Age Benefits,Pension Schemes,Sarkaria Commission,Allowances,Salary,Office of Profit"
"Further discussion on the motion for consideration of the Constitution (Scheduled Castes) Orders (Amendment) Bill, 2012 (Discussion concluded and Bill passed). ",24-08-2013,"Kashyap Shri Virender,Punia Shri P.L. ,Kumar Shri Shailendra,Bali Ram Dr. ,Choudhary Shri Bhudeo,Ray Shri Saugata,Mohan Shri Malik Sakti,Jena Shri Mohan,Singh Dr. Raghuvansh Prasad,Chauhan Shri Sanjay Singh,Panda Shri Prabodh,Shariq Shri Sharifuddin,Owaisi Shri Asaduddin,Kumar Shri Ajay,Virendra Kumar Shri ,Dhruvanarayana Shri R. ,Selja Kumari ","Atrocities,Employment Opportunities,Financial Aid,Hinduism,Indira Awaas Yojana,Private Sector,Promotion,Reservation Policy,Scheduled Tribes,Scholarships,Secularism,Dalits,Appointment,Judicial System,Scheduled Castes (SCs),Privatisation,Economic Backwardness,Tribal Welfare,SCs List,Awareness Programme"
"Discussion on the motion for consideration of the Constitution (Scheduled Tribes) Order (Second Amendment) Bill, 2012 (Discussion concluded and Bills passed). ",24-08-2013,"Deo Shri V. Kishore Chandra S.,Potai Shri Sohan,Meena Shri Raghuvir Singh,Kumar Shri Shailendra,Chauhan Shri Dara Singh,Ray Shri Saugata,Karunakaran Shri P.,Jena Shri Mohan,Aaron Rashid Shri J.M.,Anandan Shri M.,Naik Dr. Sanjeev Ganesh,Panda Shri Prabodh,Singh Dr. Raghuvansh Prasad,Shariq Shri Sharifuddin,Kumar Shri Ajay,Singh Chaudhary Lal,Bwiswmuthiary Shri Sansuma Khunggur,Rai Shri Prem Das,Dias Dr. Charles,Deo Shri V. Kishore Chandra S.","Development Projects,Education,Forest Dwellers,Indira Awaas Yojana,Land Acquisition,Medical Facilities,Pension Schemes,Rehabilitation,Religion,Reservation Policy,Scheduled Tribes,Tribal Areas,Monitoring Mechanism,Infrastructure Development,Economic Backwardness,Tribal Welfare,Basic Amenities,Land Compensation,Nomadic Tribes"
"Introduction of the Rajiv Gandhi National Aviation </span><span style=''font-size:13.0pt;font-family:AryanUnicode;mso-bidi-font-weight:bold''>University Bill, 2013. ",20-08-2013,Venugopal Shri K. C.,"Civil Aviation,Research and Development"
"Introduction of the Civil Aviation Authority of<span style=""mso-spacerun: yes"">  </span>India Bill, 2013. ",20-08-2013,Venugopal Shri K. C.,"Consumer Protection,Environmental Policy,Safety Measures"
"Introduction of the Indira Gandhi National University for<span style=""mso-spacerun: yes"">  </span>Women Bill, 2013. ",20-08-2013,Raju Pallam Mangapati Shri Mallipudi,
"Withdrawn of the Securities and Exchange Board of India (Amendment) Bill, 2013 As Passed By Rajya Sabha. ",14-08-2013,Meena Shri Namo Narain,
"Introduction of the Securities and Exchange Board of India (Amendment) Bill, 2013. ",14-08-2013,Meena Shri Namo Narain,
"Amendment made by Rajya Sabha to the Companies Bill, 2012 . ",13-08-2013,Pilot Shri Sachin,
"Introduction of the Right to Information (Amendment) Bill,<span style=""mso-spacerun: yes"">  </span>2013. ",12/8/2013,Narayanasamy Shri V.,
"Introduction of the Securities Laws (Amendment) Bill, 2013. ",12/8/2013,Meena Shri Namo Narain,
"Motion regarding withdrawl of Securities and Exchange Board of India (Amendment) Bill, 2013 (Motion Adopted). ",8/8/2013,Chidambaram Shri Palaniappan,
"Withdrawn of the National Food Security Bill, 2011. ",7/8/2013,Thomas Prof. K.V.,
"Introduction of the National Food Security Bill, 2013. ",7/8/2013,"Thomas Prof. K.V.,Thambidurai Shri M.,Baalu Thiru Thalikkottai Rajuthevar,Thomas Prof. K.V.","Nutrition,Nutrition Policy,Subsidies,Public Distribution System (PDS),Foodgrains,Food Security"
"Further discussion on the motion for consideration of the Constitution (Scheduled Castes) Order (Amendment), 2012 (Discussion not concluded). ",6/8/2013,Kashyap Shri Virender,
"Discussion on the motion for consideration of the Constitution (Scheduled Castes) Order (Amendment) Bill, 2012. ",5/8/2013,Selja Kumari ,
"Further discussion on the motion for consideration of the National Food Security Bill, 2011, moved by Prof. K.V. Thomas on 02.05.2013 (Discussion not concluded).",7/5/2013,Das Shri Bhakta Charan,"Poor,Pregnancy"
"Introduction of the National Bank for Agriculture and Rural Development (Amendment) Bill, 2013. ",6/5/2013,Ghatowar Shri Paban Singh,
"Further discussion on the motion for consideration of the National Food Security Bill, 2011, moved by Prof. K.V. Thomas. ",6/5/2013,"Thomas Prof. K.V.,Nirupam Shri Sanjay Brijkishorilal ,Trivedi Shri Dinesh,Naik Dr. Sanjeev Ganesh,Das Shri Bhakta Charan","Antyodaya Scheme,Indian Council of Medical Research (ICMR),Nutrition,Subsidies,Minimum Support Prices (MSP),Foodgrains,Food Security,Integrated Child Development Services (ICDS)"
"Discussion on the Motion for consideration of the National Food Security Bill, 2011. ",2/5/2013,Thomas Prof. K.V.,Nutrition
"Introduction of the Appropriation (Railways) No. 3 Bill, 2013. ",30-04-2013,Bansal Shri Pawan Kumar,
"Introduction and passing of the Appropriation (No. 3) Bill, 2013. ",30-04-2013,Chidambaram Shri Palaniappan,
"Discussion on the motion for consideration of the Finance Bill, 2013 (Discussion Concluded and Bill Passed). ",30-04-2013,"Chidambaram Shri Palaniappan,Badal Harsimrat Kaur,Bajwa Shri Partap Singh,Chidambaram Shri Palaniappan","Foreign Capital,Foreign Investments,Property Tax,Trade Unions,Wealth Tax,Infrastructure Development,Agricultural Land,Service Tax"
"Introduction of the Biotechnology Regulatory Authority of India Bill, 2013. ",22-04-2013,"Reddy Shri Jaipal Sudini,Acharia Shri Basudeb","Agricultural Sector,Environmental Protection"
"Introduction of the Regional Rural Banks (Amendment) Bill, 2013. ",22-04-2013,Meena Shri Namo Narain,
"Withdrawn of the Criminal Law (Amendment) Bill, 2012. ",19-03-2013,Shinde Shri Sushil Kumar,"Sexual Harassment,Human Trafficking"
"Introduction of the Criminal Law (Amendment) Bill, 2013. ",19-03-2013,Shinde Shri Sushil Kumar,
"Introduction of the Indian Institutes of Information Technology Bill, 2013. ",18-03-2013,Raju Pallam Mangapati Shri Mallipudi,
"Introduction and passing of the Jharkhand Appropriation Bill, 2013. ",15-03-2013,Chidambaram Shri Palaniappan,
"Introduction and passing of the Jharkhand Appropriation (No.2) Bill, 2013. ",15-03-2013,Chidambaram Shri Palaniappan,
"Introduction and passing of the Appropriation (Vote on Account) Bill, 2013. ",14-03-2013,Chidambaram Shri Palaniappan,
"Introduction and passing of the Appropriation Bill, 2013. ",14-03-2013,Chidambaram Shri Palaniappan,
"Introduction and passing of the Appropriation (No. 2) Bill, 2013. ",14-03-2013,Chidambaram Shri Palaniappan,
"Introduction and passing of the Appropriation (Railways) Vote on Account Bill, 2013. ",13-03-2013,Bansal Shri Pawan Kumar,
"Introduction and passing of the Appropriation (Railways) Bill, 2013. ",13-03-2013,Bansal Shri Pawan Kumar,
"Introduction and passing of the Appropriation (Railways) No.2 Bill, 2013. ",13-03-2013,Bansal Shri Pawan Kumar,
"Introduction of the the Agricultural Biosecurity Bill, 2013. ",11/3/2013,Pawar Shri Sharad Chandra Govindrao,
"Agreed to the Amendment made by Rajya Sabha to the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Bill, 2012. ",11/3/2013,Tirath Smt. Krishna,
"Introduction of the National Institutes of Technology, Science Education and Research (Amendment) Bill, 2013. ",4/3/2013,Prasada Shri Jitin,
"Introduction of the Finance Bill, 2013. ",28-02-2013,Chidambaram Shri Palaniappan,
"Amendments made by Rajya Sabha to the Constitution (One Hundred Eighteenth Amendment) Bill, 2012 (Bill Passed). ",20-12-2012,Singh Kunwar Ratanjeet Pratap Narayan ,
"Further discussion on the motion for consideration of the Constitution (One Hundred Seventeenth Amendment) Bill, 2012 (Amendment of article 16), as passed by Rajya Sabha (Discussion not concluded). ",20-12-2012,"Narayanasamy Shri V.,Punia Shri P.L. ","Government Employees,Promotion,Reservation Policy,Scheduled Castes (SCs),Scheduled Tribes (STs)"
"Discussion on the motion for consideration of the Constitution (One Hundred Seventeenth Amendment) Bill, 2012 (Amendment of article 16) as passed by Rajya Sabha. ",19-12-2012,Narayanasamy Shri V.,
"Further discussion on the motion for consideration of the Banking Laws (Amendment) Bill, 2011 (Discussion not concluded). ",18-12-2012,"Thakur Shri Anurag Singh,Chidambaram Shri Palaniappan,Ray Shri Saugata,Chidambaram Shri Palaniappan,Thakur Shri Anurag Singh,Ramasubbu Shri S.S.,Kumar Shri Shailendra,Bali Ram Dr. ,Sharma Shri Jagdish,Ray Shri Saugata,Das Shri Khagen,Mahtab Shri Bhartruhari,Adsul Shri Anandrao Vithoba,Majumdar Shri Prasanta Kumar,Das Gupta Shri Gurudas,Semmalai Shri S. ,Rai Shri Prem Das,Kumar Shri Ajay,Ajmal Shri Badruddin,Chidambaram Shri Palaniappan","Bank Accounts,Bank Branches,Banking Law,Banking Systems,Employment Opportunities,Foreign Banks,Forward Trade,Parliamentary Procedure,Point of Order,Rural Banks,Reserve Bank of India (RBI),Economic Reforms,Foreign Direct Investment (FDI),Welfare Measures,Voting Rights,Farmers' Welfare,insurance sector,Educational Loan,Nationalized Bank,Bank Merger,Banking Sector,Banking Industry,Private Banks,Private Sector Banks,Competition Commission of India"
"Discussion on the motion for consideration of the Constitution (One-Hundred and Eighteenth Amendment) Bill, 2012 (insertion of New Article 371j) Bill Passed. ",18-12-2012,"Singh Kunwar Ratanjeet Pratap Narayan ,Ananth Kumar Shri ,Hegde Shri K. Jayaprakash ,Devegowda Shri H.D.,Pakkirappa Shri S.,Shivaramagouda Shri ,Kumar Shri Shailendra,Satpathy Shri Tathagata,Singh Shri N.Dharam,Yadav Shri Sharad,Ray Shri Saugata,Kharge Shri Mallikarjun ,Geete Shri Anant Gangaram,Owaisi Shri Asaduddin,Rao Shri Nama Nageswara,Rajesh Shri M. B.,Lalu Prasad Shri ,Panda Shri Prabodh,Bali Ram Dr. ,Kumari Smt. Putul,Patel Shri R.K. Singh,Kumar Shri Ajay,Singh Kunwar Ratanjeet Pratap Narayan ","Backward Areas,Development Programmes,Economic And Social Development,Employment Opportunities,Fund Allocation,Regional Imbalances,Infrastructure Development,State Reorganisation,Employment Generation,Economic Backwardness"
